dataset,variant,pred_len,seq_len,seed,max_epochs,mse,mae,status
Electricity,xlstm_full,96,96,42,10,0.14800050854682922,0.23521609604358673,ok
Electricity,tf_no_pe,96,96,42,10,0.1517021805047989,0.2363576740026474,ok
Electricity,tf_with_pe,96,96,42,10,0.1402551680803299,0.2315031737089157,ok
Electricity,nlinear_only,96,96,42,10,0.20155954360961914,0.27312013506889343,ok
Traffic,xlstm_full,96,96,42,10,0.4156632423400879,0.26071280241012573,ok
Traffic,tf_no_pe,96,96,42,10,0.40676528215408325,0.2557980418205261,ok
Traffic,tf_with_pe,96,96,42,10,0.41521453857421875,0.26385584473609924,ok
Traffic,nlinear_only,96,96,42,10,0.6713151931762695,0.37756216526031494,ok
